  STREAM OBSERVATION OUTPUT
    TIME      SFR-NODE  SFR-CONCENTRATION    FLOWGW          GW-CONC
    120.1049          1        0.000000           -69.07879           0.6322367E-02
    120.1049          2        0.000000           -69.44162           0.6315118E-02
    120.1049          3        0.000000           -69.22833           0.6319363E-02
    120.1049          4        0.000000           -68.61442           0.6331618E-02
    120.1049          5        0.000000           -67.17272           0.6360623E-02
    120.1049          6        0.000000           -64.02850           0.6424846E-02
    120.1049          7        0.000000           -59.61715           0.6517171E-02
    120.1049          8        0.000000           -53.59626           0.6647553E-02
    120.1049          9        0.000000           -45.05421           0.6841754E-02
    120.1049         10        0.000000           -34.66274           0.7093869E-02
    120.1049         11        0.000000           -36.26577           0.7053707E-02
    120.1049         12        0.000000           -37.37084           0.7026282E-02
    120.1049         13        0.000000           -40.45902           0.6950827E-02
    120.1049         14        0.000000           -43.08222           0.6887993E-02
    120.1049         15        0.000000           -44.71676           0.6849398E-02
    120.1049         16        0.000000           -45.23340           0.6837266E-02
    120.1049         17        0.000000           -44.98927           0.6842955E-02
    120.1049         18        0.000000           -43.67366           0.6873896E-02
    120.1049         19        0.000000           -40.95270           0.6938786E-02
    120.1049         20        0.000000           -36.18196           0.7055567E-02
    120.1049         21        0.000000           -30.08597           0.7210634E-02
    120.1049         22        0.000000           -35.48397           0.7072982E-02
    120.1049         23        0.000000           -39.35167           0.6977543E-02
    120.1049         24        0.000000           -41.23930           0.6931893E-02
    120.1049         25        0.000000           -41.65714           0.6921869E-02
    120.1049         26        0.000000           -41.18049           0.6933307E-02
    120.1049         27        0.000000           -40.11129           0.6959101E-02
    120.1049         28        0.000000           -38.62718           0.6995224E-02
    120.1049         29        0.000000           -36.65839           0.7043728E-02
    120.1049         30        0.000000           -34.10171           0.7107728E-02
    120.1049         31        0.000000           -30.68215           0.7195169E-02
    120.1049         32        0.000000           -26.35242           0.7309018E-02
    120.1049         33        0.000000           -20.90701           0.7457423E-02
    120.1049         34        0.000000           -14.48606           0.7640347E-02
    120.1049         35        0.000000           -7.347598           0.7854542E-02
    120.1049         36        0.000000           0.1199965           0.8087927E-02
    120.1049         37        0.000000            8.985526           0.8087927E-02
    120.1049         38        0.000000            20.15248           0.8087927E-02
    120.1049         39        0.000000            32.16213           0.8087927E-02
    120.1049         40        0.000000            0.000000           0.1000000E+31
    240.2097          1       0.9395005E-04       -69.07879           0.9137758E-02
    240.2097          2       0.1870334E-03       -69.44162           0.9125193E-02
    240.2097          3       0.2785515E-03       -69.22833           0.9130775E-02
    240.2097          4       0.3678481E-03       -68.61442           0.9142548E-02
