site,datetime,value
fa_hw_20170913,,-207.80364590000002
fa_tw_20170913,,-12.324782332666667
fo_gage_1,2016-01-01,5725.554184721414
fo_gage_1,2016-01-02,19335.450516874043
fo_gage_1,2016-01-03,5697.406166018344
fo_gage_1,2016-01-04,5058.040514800624
fo_gage_1,2016-01-05,7629.705531831201
fo_gage_1,2016-01-06,3543.2896534647057
fo_gage_1,2016-01-07,8936.910327987156
fo_gage_1,2016-01-08,19826.673915536758
fo_gage_1,2016-01-09,7168.895387246428
fo_gage_1,2016-01-10,6455.079003110358
fo_gage_1,2016-01-11,8848.236866697505
fo_gage_1,2016-01-12,4056.530932937709
fo_gage_1,2016-01-13,6503.638328662137
fo_gage_1,2016-01-14,6464.858753176959
fo_gage_1,2016-01-15,8653.219441986665
fo_gage_1,2016-01-16,5539.693073448341
fo_gage_1,2016-01-17,6905.003171016348
fo_gage_1,2016-01-18,5934.619453613692
fo_gage_1,2016-01-19,7307.9199228035895
fo_gage_1,2016-01-20,8142.142897831945
fo_gage_1,2016-01-21,5721.1416301348345
fo_gage_1,2016-01-22,9072.155606293361
fo_gage_1,2016-01-23,8765.716451378486
fo_gage_1,2016-01-24,8223.489548243868
fo_gage_1,2016-01-25,8868.549990071453
fo_gage_1,2016-01-26,6523.488364370783
fo_gage_1,2016-01-27,7414.57084451516
fo_gage_1,2016-01-28,6212.183323359535
fo_gage_1,2016-01-29,7272.038896499514
fo_gage_1,2016-01-30,8540.949466431957
fo_gage_1,2016-01-31,6687.420706308818
fo_gage_1,2016-02-01,7179.621222689918
fo_gage_1,2016-02-02,6758.205577937279
fo_gage_1,2016-02-03,6541.763102634185
fo_gage_1,2016-02-04,6847.038334871898
fo_gage_1,2016-02-05,7923.132434517379
fo_gage_1,2016-02-06,6193.96353102157
fo_gage_1,2016-02-07,8385.540831518147
fo_gage_1,2016-02-08,10711.3820546578
fo_gage_1,2016-02-09,9269.719489153378
fo_gage_1,2016-02-10,7791.386785912302
fo_gage_1,2016-02-11,6687.7928582771665
fo_gage_1,2016-02-12,6938.963559677116
fo_gage_1,2016-02-13,10955.83054846011
fo_gage_1,2016-02-14,8294.399409510228
fo_gage_1,2016-02-15,7186.10723883197
fo_gage_1,2016-02-16,8572.461575566324
fo_gage_1,2016-02-17,11759.361633580456
fo_gage_1,2016-02-18,8503.27157604022
fo_gage_1,2016-02-19,9354.276937339913
fo_gage_1,2016-02-20,8850.895271135616
fo_gage_1,2016-02-21,7778.865831935067
fo_gage_1,2016-02-22,6469.9012179250285
fo_gage_1,2016-02-23,7815.326858279249
fo_gage_1,2016-02-24,8066.808669164134
fo_gage_1,2016-02-25,32990.32012186284
fo_gage_1,2016-02-26,9868.523137818402
fo_gage_1,2016-02-27,10039.547568743888
fo_gage_1,2016-02-28,8959.921423460028
fo_gage_1,2016-02-29,9988.894921931602
fo_gage_1,2016-03-01,7214.685344408713
fo_gage_1,2016-03-02,10636.951712287926
fo_gage_1,2016-03-03,9385.238309174094
fo_gage_1,2016-03-04,8013.244222224232
fo_gage_1,2016-03-05,9358.853931635222
fo_gage_1,2016-03-06,8402.842055135654
fo_gage_1,2016-03-07,10471.126968279485
fo_gage_1,2016-03-08,11140.103401766972
fo_gage_1,2016-03-09,12281.913068338987
fo_gage_1,2016-03-10,6159.814947554175
fo_gage_1,2016-03-11,6080.66281425498
fo_gage_1,2016-03-12,7686.469194146912
fo_gage_1,2016-03-13,8820.212808350556
fo_gage_1,2016-03-14,10041.338480457513
fo_gage_1,2016-03-15,31770.414718291875
fo_gage_1,2016-03-16,5081.126571532188
fo_gage_1,2016-03-17,8002.816708805349
fo_gage_1,2016-03-18,9925.945828970394
fo_gage_1,2016-03-19,8899.004186158767
fo_gage_1,2016-03-20,9793.659146238988
fo_gage_1,2016-03-21,8110.732819247912
fo_gage_1,2016-03-22,8136.726810192295
fo_gage_1,2016-03-23,8780.565944969321
fo_gage_1,2016-03-24,32004.43136242547
fo_gage_1,2016-03-25,8773.423089266265
fo_gage_1,2016-03-26,8625.10321787644
fo_gage_1,2016-03-27,7280.227583919488
fo_gage_1,2016-03-28,9023.080575799484
fo_gage_1,2016-03-29,8578.13852375281
fo_gage_1,2016-03-30,10242.53083911694
fo_gage_1,2016-03-31,10332.662022279663
fo_gage_1,2016-04-01,8618.64823575099
fo_gage_1,2016-04-02,26828.270520380884
fo_gage_1,2016-04-03,7207.691742264208
fo_gage_1,2016-04-04,8936.304425835671
fo_gage_1,2016-04-05,8339.916383686876
fo_gage_1,2016-04-06,7626.006367599121
fo_gage_1,2016-04-07,8232.447863824158
fo_gage_1,2016-04-08,7125.072547124932
fo_gage_1,2016-04-09,9237.311086146105
fo_gage_1,2016-04-10,7353.5833958872845
fo_gage_1,2016-04-11,10019.395302074758
fo_gage_1,2016-04-12,8665.424103029663
fo_gage_1,2016-04-13,8935.094061752332
fo_gage_1,2016-04-14,6211.790560477592
fo_gage_1,2016-04-15,8189.143037845819
fo_gage_1,2016-04-16,9051.515648648943
fo_gage_1,2016-04-17,6350.329233463354
fo_gage_1,2016-04-18,7394.162543457746
fo_gage_1,2016-04-19,7822.686675550318
fo_gage_1,2016-04-20,5610.2250903462855
fo_gage_1,2016-04-21,8179.36336106499
fo_gage_1,2016-04-22,8950.869810714292
fo_gage_1,2016-04-23,6306.272125777221
fo_gage_1,2016-04-24,8107.414647580489
fo_gage_1,2016-04-25,5557.39900259831
fo_gage_1,2016-04-26,7436.022744077706
fo_gage_1,2016-04-27,5042.709848073189
fo_gage_1,2016-04-28,9065.88872244759
