site,value,r,c,l
trgw_002_009,34.960130276948966,3,10,3
trgw_002_015,34.74709760546534,3,16,3
trgw_003_008,34.9685824402684,4,9,3
trgw_009_001,36.482735842121336,10,2,3
trgw_013_010,34.362062149719485,14,11,3
trgw_015_016,34.84417995445486,16,17,3
trgw_021_010,33.87776939498772,22,11,3
trgw_022_015,33.87900297100507,23,16,3
trgw_024_004,33.72989648395984,25,5,3
trgw_026_006,33.66820902053915,27,7,3
trgw_029_015,33.701504901867835,30,16,3
trgw_033_007,33.486080251815395,34,8,3
trgw_034_010,33.396058609240534,35,11,3
