obsnme obsval
c001pr01c01_19700101 45.0
c001pr01c01_19700102 31.691458
c001pr01c01_19791231 31.607943
c001pr01c01_19800101 31.298382
c001pr01c02_19700101 45.0
c001pr01c02_19700102 31.59549
c001pr01c02_19791231 31.511993
c001pr01c02_19800101 31.20484
c001pr01c03_19700101 45.0
c001pr01c03_19700102 31.386198
c001pr01c03_19791231 31.302668
c001pr01c03_19800101 31.000427
c001pr01c04_19700101 45.0
c001pr01c04_19700102 31.058912
c001pr01c04_19791231 30.975292
c001pr01c04_19800101 30.680597
c001pr01c05_19700101 45.0
c001pr01c05_19700102 30.699871
c001pr01c05_19791231 30.616703
c001pr01c05_19800101 30.332323
c001pr01c06_19700101 45.0
c001pr01c06_19700102 30.27691
c001pr01c06_19791231 30.194653
c001pr01c06_19800101 29.923609
c001pr01c07_19700101 45.0
c001pr01c07_19700102 29.723452
c001pr01c07_19791231 29.642506
c001pr01c07_19800101 29.388924
c001pr01c08_19700101 45.0
c001pr01c08_19700102 29.255014
c001pr01c08_19791231 29.17629
c001pr01c08_19800101 28.940426
c001pr01c09_19700101 45.0
c001pr01c09_19700102 28.690897
c001pr01c09_19791231 28.61531
c001pr01c09_19800101 28.401142
c001pr01c10_19700101 45.0
c001pr01c10_19700102 28.133398
c001pr01c10_19791231 28.062048
c001pr01c10_19800101 27.871162
c001pr01c11_19700101 45.0
c001pr01c11_19700102 27.612549
c001pr01c11_19791231 27.546703
c001pr01c11_19800101 27.379963
c001pr01c12_19700101 45.0
c001pr01c12_19700102 27.105448
c001pr01c12_19791231 27.046715
c001pr01c12_19800101 26.90581
c001pr01c13_19700101 45.0
c001pr01c13_19700102 26.585846
c001pr01c13_19791231 26.536343
c001pr01c13_19800101 26.424084
c001pr01c14_19700101 45.0
c001pr01c14_19700102 26.017176
c001pr01c14_19791231 25.98001
c001pr01c14_19800101 25.90115
c001pr01c15_19700101 45.0
c001pr01c15_19700102 25.446632
c001pr01c15_19791231 25.42498
c001pr01c15_19800101 25.382656
c001pr01c16_19700101 45.0
c001pr01c16_19700102 24.901651
c001pr01c16_19791231 24.899548
c001pr01c16_19800101 24.897062
c001pr01c17_19700101 45.0
c001pr01c17_19700102 24.94801
c001pr01c17_19791231 24.934076
c001pr01c17_19800101 24.927242
c001pr01c18_19700101 45.0
c001pr01c18_19700102 25.024384
c001pr01c18_19791231 25.00236
c001pr01c18_19800101 24.992064
c001pr01c19_19700101 45.0
c001pr01c19_19700102 25.091057
c001pr01c19_19791231 25.063871
c001pr01c19_19800101 25.051128
c001pr01c20_19700101 45.0
c001pr01c20_19700102 25.136951
c001pr01c20_19791231 25.106873
c001pr01c20_19800101 25.092672
c001pr02c01_19700101 45.0
c001pr02c01_19700102 31.673168
c001pr02c01_19791231 31.58959
c001pr02c01_19800101 31.279774
c001pr02c02_19700101 45.0
c001pr02c02_19700102 31.563866
c001pr02c02_19791231 31.480217
c001pr02c02_19800101 31.17279
c001pr02c03_19700101 45.0
c001pr02c03_19700102 31.354498
c001pr02c03_19791231 31.270805
c001pr02c03_19800101 30.968359
c001pr02c04_19700101 45.0
c001pr02c04_19700102 31.016647
c001pr02c04_19791231 30.932768
c001pr02c04_19800101 30.63794
c001pr02c05_19700101 45.0
c001pr02c05_19700102 30.678322
c001pr02c05_19791231 30.594908
c001pr02c05_19800101 30.310139
c001pr02c06_19700101 45.0
c001pr02c06_19700102 30.256191
c001pr02c06_19791231 30.173576
c001pr02c06_19800101 29.901978
c001pr02c07_19700101 45.0
c001pr02c07_19700102 29.708233
c001pr02c07_19791231 29.626816
c001pr02c07_19800101 29.372465
c001pr02c08_19700101 45.0
c001pr02c08_19700102 29.201113
c001pr02c08_19791231 29.121763
c001pr02c08_19800101 28.885817
c001pr02c09_19700101 45.0
c001pr02c09_19700102 28.659641
c001pr02c09_19791231 28.583258
c001pr02c09_19800101 28.36819
c001pr02c10_19700101 45.0
c001pr02c10_19700102 28.074644
c001pr02c10_19791231 28.002398
c001pr02c10_19800101 27.811085
c001pr02c11_19700101 45.0
c001pr02c11_19700102 27.55786
c001pr02c11_19791231 27.491001
c001pr02c11_19800101 27.32346
c001pr02c12_19700101 45.0
c001pr02c12_19700102 27.055706
c001pr02c12_19791231 26.995897
c001pr02c12_19800101 26.853806
c001pr02c13_19700101 45.0
c001pr02c13_19700102 26.526756
c001pr02c13_19791231 26.476288
c001pr02c13_19800101 26.362942
c001pr02c14_19700101 45.0
