name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
CONST_RECH10__CN,0,0.0672113,-0.134423,0.134423,0,0.0671696,-0.134339,0.134339
CONST_RECH11__CN,0,0.0672113,-0.134423,0.134423,0,0.0671363,-0.134273,0.134273
CONST_RECH12__CN,0,0.0672113,-0.134423,0.134423,0,0.0669732,-0.133946,0.133946
CONST_RECH13__CN,0,0.0672113,-0.134423,0.134423,0,0.0665483,-0.133097,0.133097
CONST_RECH14__CN,0,0.0672113,-0.134423,0.134423,0,0.0656461,-0.131292,0.131292
CONST_RECH15__CN,0,0.0672113,-0.134423,0.134423,0,0.0646428,-0.129286,0.129286
CONST_RECH16__CN,0,0.0672113,-0.134423,0.134423,0,0.0650248,-0.13005,0.13005
CONST_RECH17__CN,0,0.0672113,-0.134423,0.134423,0,0.0656821,-0.131364,0.131364
CONST_RECH18__CN,0,0.0672113,-0.134423,0.134423,0,0.066513,-0.133026,0.133026
CONST_RECH19__CN,0,0.0672113,-0.134423,0.134423,0,0.0669945,-0.133989,0.133989
CONST_RECH20__CN,0,0.0672113,-0.134423,0.134423,0,0.067136,-0.134272,0.134272
CONST_RECH21__CN,0,0.0672113,-0.134423,0.134423,0,0.0671708,-0.134342,0.134342
CONST_RECH22__CN,0,0.0672113,-0.134423,0.134423,0,0.0671594,-0.134319,0.134319
CONST_RECH23__CN,0,0.0672113,-0.134423,0.134423,0,0.0670751,-0.13415,0.13415
CONST_RECH24__CN,0,0.0672113,-0.134423,0.134423,0,0.0668026,-0.133605,0.133605
CONST_RECH25__CN,0,0.0672113,-0.134423,0.134423,0,0.0662276,-0.132455,0.132455
CONST_RECH26__CN,0,0.0672113,-0.134423,0.134423,0,0.0655147,-0.131029,0.131029
CONST_RECH2__CN,0,0.0672113,-0.134423,0.134423,0,0.0637648,-0.12753,0.12753
CONST_RECH3__CN,0,0.0672113,-0.134423,0.134423,0,0.0647808,-0.129562,0.129562
CONST_RECH4__CN,0,0.0672113,-0.134423,0.134423,0,0.0644074,-0.128815,0.128815
CONST_RECH5__CN,0,0.0672113,-0.134423,0.134423,0,0.06491,-0.12982,0.12982
CONST_RECH6__CN,0,0.0672113,-0.134423,0.134423,0,0.066071,-0.132142,0.132142
CONST_RECH7__CN,0,0.0672113,-0.134423,0.134423,0,0.0667311,-0.133462,0.133462
CONST_RECH8__CN,0,0.0672113,-0.134423,0.134423,0,0.0670633,-0.134127,0.134127
CONST_RECH9__CN,0,0.0672113,-0.134423,0.134423,0,0.0671532,-0.134306,0.134306
GC0000390005,0,0.5,-1,1,0,0.499563,-0.999126,0.999126
GC0000390006,0,0.5,-1,1,0,0.499567,-0.999134,0.999134
GC0000390007,0,0.5,-1,1,0,0.499576,-0.999153,0.999153
GC0000390008,0,0.5,-1,1,0,0.499567,-0.999135,0.999135
GC0000390009,0,0.5,-1,1,0,0.499577,-0.999155,0.999155
GC0000390010,0,0.5,-1,1,0,0.499573,-0.999147,0.999147
GC0000390011,0,0.5,-1,1,0,0.499587,-0.999174,0.999174
GC0000390012,0,0.5,-1,1,0,0.499597,-0.999194,0.999194
GC0000390013,0,0.5,-1,1,0,0.4996,-0.999199,0.999199
GC0000390014,0,0.5,-1,1,0,0.499594,-0.999188,0.999188
GC0100390005,0,0.5,-1,1,0,0.499505,-0.999009,0.999009
GC0100390006,0,0.5,-1,1,0,0.49951,-0.999019,0.999019
GC0100390007,0,0.5,-1,1,0,0.49951,-0.99902,0.99902
GC0100390008,0,0.5,-1,1,0,0.499515,-0.99903,0.99903
GC0100390009,0,0.5,-1,1,0,0.499527,-0.999054,0.999054
GC0100390010,0,0.5,-1,1,0,0.499525,-0.99905,0.99905
GC0100390011,0,0.5,-1,1,0,0.499544,-0.999088,0.999088
GC0100390012,0,0.5,-1,1,0,0.499545,-0.99909,0.99909
GC0100390013,0,0.5,-1,1,0,0.499554,-0.999109,0.999109
GC0100390014,0,0.5,-1,1,0,0.49867,-0.99734,0.99734
GC0200000000,0,0.5,-1,1,0,0.49938,-0.998759,0.998759
GC0200000001,0,0.5,-1,1,0,0.499325,-0.998651,0.998651
GC0200000002,0,0.5,-1,1,0,0.499228,-0.998456,0.998456
GC0200000003,0,0.5,-1,1,0,0.498895,-0.997791,0.997791
GC0200000004,0,0.5,-1,1,0,0.49865,-0.9973,0.9973
GC0200000005,0,0.5,-1,1,0,0.498166,-0.996332,0.996332
GC0200000006,0,0.5,-1,1,0,0.497591,-0.995181,0.995181
